OBSERVATION,T1,RH_1,T2,RH_2,T3,RH_3,T4,RH_4,T5,RH_5,T6,RH_6,T7,RH_7,T8,RH_8,T9,RH_9,TEMP,PRE,RH_OUT,WS,V,TP,E
50001,21.1,39.9,19.29,41.26,21.5,40.7,18.89,41.2,18.08888889,52.08,3.2,92.5,19.2,38.61055556,21.6,47.09,18.1,44.9,2.7,733.6333333,98.16666667,2.0,34.83333333,2.43,60.0
50002,22.6,39.03,20.79,40.46333333,22.29,38.29,20.29,36.7,20.76,43.66666667,7.69,45.25666667,20.5,35.29,23.76,39.26666667,19.39,37.5,7.27,756.6666667000001,82.0,2.0,40.0,4.4,110.0
50003,21.0,35.59,19.79,34.9,21.16666667,35.83333333,20.39,33.09,18.0,45.7,7.19,25.46666667,21.1,26.478,22.6,34.12666667,18.2,39.79,6.05,751.25,50.0,6.5,34.5,-3.7,60.0
50004,20.56666667,37.59,20.56666667,35.7,20.16666667,37.0,22.0,35.32666667,17.7,45.4,8.96,32.66333333,19.79,30.92666667,20.66666667,36.96666667,18.0,41.29,9.35,758.7166667,58.33333333,1.0,25.16666667,1.48,80.0
50005,21.5,38.7,18.56666667,42.03,22.5,38.9,20.0,39.0,19.63333333,48.82666667,2.9666666669999997,65.26333333,20.2,33.79,23.39,45.32666667,20.13333333,43.2,3.03,758.85,95.0,2.0,60.33333333,2.25,50.0
50006,22.29,37.12666667,20.15,39.09,23.5,37.79,22.7,35.0,20.39,43.29,10.06666667,13.33333333,22.0,36.356,22.46333333,43.56,20.32333333,40.2,9.97,759.8666667,66.66666667,4.0,32.66666667,4.0,60.0
50007,21.89,39.5,20.79,37.46333333,22.5,36.5,22.6,35.4,20.29,40.82666667,10.82333333,1.533333333,20.6,27.7,22.39,35.86333333,20.46333333,33.26666667,11.2,762.3,53.33333333,5.333333333,40.0,1.97,130.0
50008,20.53333333,38.86333333,19.39,39.09,20.2,40.7,20.5,37.86333333,17.6,66.18285714,-5.674444444,82.66555556,18.0,33.20555556,20.15,43.59,16.89,39.09,-4.7,756.6,87.5,1.0,64.5,-6.45,50.0
50009,21.39,39.23,21.86,38.83333333,21.92666667,37.5,20.5,39.2,19.89,44.06,7.793333333,68.29,20.13333333,33.66333333,23.29,42.0,20.39,39.16333333,5.37,760.9333333,90.5,1.8333333330000001,62.16666667,3.88,100.0
50010,18.96333333,44.7,18.2,44.53,20.0,45.0,16.5,47.0,16.7,51.79,8.3,99.9,16.86222222,43.00944444,18.5,54.56,16.39,49.29,8.33,754.8333332999999,94.0,11.0,28.5,7.42,40.0
50011,23.89,40.09,25.56,34.036,24.39,37.7,24.1,38.2,20.33,45.66,21.17142857,1.0,23.11428571,35.66857143,22.89,40.29,22.79,40.59,16.3,758.0666667,60.66666667,5.0,32.66666667,8.7,50.0
50012,21.16666667,36.32666667,19.5,36.7,21.29,35.9,19.92666667,35.5,18.7,39.9,3.59,60.45666667,20.2,28.26,21.7,34.76666667,18.1,40.56,4.17,771.6333333,61.0,3.333333333,40.0,-2.87,50.0
50013,22.0,38.59,22.0,36.2,22.29,36.79,22.0,37.0,20.0,44.9,14.72666667,1.0,21.2,31.22571429,21.2,38.9,20.23,37.86,13.0,765.6,56.0,3.666666667,40.0,4.37,50.0
50014,20.89,39.9,20.5,37.62666667,20.7,39.03,21.23,37.4,18.2,47.09,9.066666667,36.52666667,19.1,30.73,20.1,37.72333333,18.39,42.0,8.33,745.4333333,55.66666667,8.333333332999999,40.0,-0.0667,60.0
50015,21.1,37.5,18.5,39.93333333,22.6,36.7,21.79,34.79,20.03333333,48.53,4.9966666669999995,32.76666667,20.254,30.66,22.2,43.0,20.29,39.5,6.4,764.0,82.0,3.0,40.0,3.6,50.0
50016,21.79,43.56,20.4725,44.2675,21.6,42.4,21.46333333,43.1,20.456,83.374,5.69,88.0,19.53333333,41.03,22.0,46.4,18.5,44.29285714,5.23,753.3,97.0,1.0,50.0,4.8,110.0
50017,20.39,38.4,17.85666667,40.96666667,20.96333333,37.09,21.06666667,36.4,18.2,44.59,1.8633333330000001,78.56,18.39,35.4,20.35666667,44.53,17.5,37.7,0.8,754.3,99.0,1.0,49.0,0.6,50.0
50018,20.2,37.3,18.79,37.59,20.39,36.72333333,19.79,35.09,18.2,44.553999999999995,6.993333333,62.8,18.5,31.83,19.79,39.5,17.89,38.2,4.87,754.2333332999999,66.5,1.0,25.16666667,-0.95,50.0
50019,22.1,44.73,21.7,43.5,21.96333333,44.45555556,20.29,47.9975,18.7,57.03,10.5,90.15666667,18.5,44.18166667,20.0,50.10222222,18.6,48.9,9.8,761.1666667000001,89.0,5.333333333,40.0,8.1,60.0
